Carimbo de data/hora,Nome do pesquisador,Local da pesquisa,Qual a sua idade?,Qual o gênero com o qual você se identifica?,Você se autodeclara em relação a raça/cor?,Em qual bairro você mora? Caso não esteja listado responder na próxima pergunta.,Bairro (Outro):,Qual sua atividade principal,Você possui alguma atividade secundária?,Existe um local seguro para guardar bicicleta no meu local de estudo,Por qual motivo você não usa bicicleta para ir para escola/faculdade/curso?,"Você utiliza bicicleta nos seus deslocamentos, mesmo que de forma secundária ou poucas vezes no mês?",Com que frequência você pedala,Você tem medo de acidentes quando pedala em Fortaleza?,O que precisa melhorar para que você pedale de forma mais confortável e segura em Fortaleza? (pode marcar várias),Seus destinos de trabalho/estudo/lazer ou outros são próximos de você? (Até 15min),Porque você escolhe andar de bicicleta? (Pode marcar várias),Você concorda com as seguintes afirmações? [Existem ciclovias ou ciclofaixas no meu bairro que são confortáveis de andar de bicicleta]_ciclista,Você concorda com as seguintes afirmações? [Existem ruas calmas no meu bairro que são confortáveis de andar de bicicleta]_ciclista,Você concorda com as seguintes afirmações? [Há uma alta taxa de criminalidade no meu bairro que me impede/prejudica a andar de bicicleta]_ciclista,Você concorda com as seguintes afirmações? [Há muito trânsito ou congestionamento no meu caminho para trabalho/estudo/outros que me impediria de andar de bicicleta]_ciclista,Você concorda com as seguintes afirmações? [As ruas no meu caminho diário são mal conservadas]_ciclista,Você concorda com as seguintes afirmações? [Meus colegas de trabalho/estudo utilizam bicicleta]_ciclista,Você concorda com as seguintes afirmações? [Quando criança aprendi ou fui incentivado a andar de bicleta]_ciclista,Porque você não anda mais de bicicleta? (Pode marcar várias),Você concorda com as seguintes afirmações? [Existem ciclovias ou ciclofaixas no meu bairro que são confortáveis de andar de bicicleta]_nciclista,Você concorda com as seguintes afirmações? [Existem ruas calmas no meu bairro que são confortáveis de andar de bicicleta]_nciclista,Você concorda com as seguintes afirmações? [Há uma alta taxa de criminalidade no meu bairro que me impede/prejudica a andar de bicicleta]_nciclista,Você concorda com as seguintes afirmações? [Há muito trânsito ou congestionamento no meu caminho para trabalho/estudo/outros que me impediria de andar de bicicleta]_nciclista,Você concorda com as seguintes afirmações? [As ruas no meu caminho diário são mal conservadas]_nciclista,Você concorda com as seguintes afirmações? [Meus colegas de trabalho/estudo utilizam bicicleta]_nciclista,Você concorda com as seguintes afirmações? [Possuo bicicleta em casa],Você concorda com as seguintes afirmações? [Tenho acesso a bicicleta de outra pessoa ou de bicicletas públicas],Você concorda com as seguintes afirmações? [Meus destinos de trabalho/estudo/outros são proximos da minha casa (15min)],Você concorda com as seguintes afirmações? [Tenho medo de sofrer um acidente de trânsito],Você concorda com as seguintes afirmações? [Quando criança aprendi ou fui incentivado a andar de bicleta]_nciclista,Qual meio de transporte você mais utiliza no dia a dia para suas atividades diárias? (Modo principal),"Você utiliza algum outro meio de transporte secundário? (se não, deixar em branco)",Você gostaria de mudar seu meio de transporte principal? Para qual modo?,Utilizo mais de um ônibus para realizar minha atividade principal trabalho/estudo/outros.,Um dos ônibus que eu pego nas minhas viagens diárias faz uma viagem de curta distância (15min).,Existem locais para guardar minha bicicleta ao longo do meu caminho para minha atividade diária trabalho/estudo/outros.,O que lhe impede de usar bicicleta integrando com o ônibus (usar bicicleta e ônibus) nos seus deslocamentos diários? (Pode marcar várias),Um caminho ou trecho totalmente separado da rua e dos veículos,"Uma rua residencial tranquila, sem ciclofaixa","Uma rua residencial tranquila, com ciclofaixa","Uma rua comercial de bairro, sem ciclofaixa ou ciclovia","Uma rua comercial de bairro, com ciclofaixa ou ciclovia","Uma importante rua da cidade com  2 faixas de tráfego por sentido e velocidades altas, sem ciclofaixa ou ciclovia","Uma importante rua da cidade com  2 faixas de tráfego por sentido e velocidades altas, com ciclofaixa","Uma importante rua da cidade com  2 faixas de tráfego por sentido e velocidades altas, com ciclovia","Uma rodovia, com 4 faixas por sentido e velocidades altas, sem ciclofaixa ou ciclovia.","Uma rodovia, com 4 faixas por sentido e velocidades altas, com ciclofaixa.","Uma rodovia, com 4 faixas por sentido e velocidades altas, com ciclovia.",Você gostaria de pedalar mais do que atualmente?,Você pedalou nos últimos 30 dias?,"Qual é a renda total do seu domicílio? Ou seja, a soma dos rendimentos de todos que moram na sua casa.",Você aprendeu ou foi estimulado a aprender a andar de bicicleta na infância?,SR,Tipo de ciclistas,Ciclista,no_sense
2024-08-01T17:36:09.130Z,Sabrina Farias,Feirinha da Beira Mar,46-50,Masculino,Pardo (a),Mucuripe,,Trabalho fixo,,,,Não utilizo,,,,,,,,,,,,,Não sei andar de bicicleta,Concordo parcialmente,Concordo,Concordo,Concordo totalmente,Concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Ônibus Municipal ou Vans,,Carro,Sim,Discordo fortemente,Não sei,Não sei andar de bicicleta,5 - Muito confortável,1 - Muito desconfortável,1 - Muito desconfortável,1 - Muito desconfortável,1 - Muito desconfortável,1 - Muito desconfortável,1 - Muito desconfortável,5 - Muito confortável,1 - Muito desconfortável,1 - Muito desconfortável,5 - Muito confortável,2 - Discordo,Não,Entre 1 e 2 salários mínimos,,SR 2,De jeito nenhum,Não ciclista,FALSE
2024-08-01T17:39:26.529Z,Daniel,Feirinha,31-35,Feminino,Branco (a),Praia De Iracema,,Trabalho fixo,,,,Utilizo pouco (+/-1 vez por mês),Mais de 2 vezes por semana,"3 - Nem seguro, nem inseguro","Menos obstáculos nas ciclovias e ciclofaixas (lixo, árvores, resíduos, etc.)",Não,Gosto de andar de bicicleta (é prazeroso),Concordo,Concordo,Discordo,Concordo parcialmente,Discordo,Concordo parcialmente,Concordo,,,,,,,,,,,,,Dirigindo carro,Uber carro,Não gostaria,,,,,5 - Muito confortável,2,3,1 - Muito desconfortável,1 - Muito desconfortável,2,3,4,1 - Muito desconfortável,2,5 - Muito confortável,4 - Concordo,Sim,Prefiro não responder,,,"Interessado, mas preocupado",Ciclista,FALSE
2024-08-02T08:07:23.663Z,Daniel,Cidade 2000,31-35,Masculino,Pardo (a),Messejana,,Trabalho fixo,,,,Não utilizo,,,,,,,,,,,,,"Não tenho bicicleta, Tenho medo de ser assaltado",Concordo,Discordo,Concordo,Concordo,Concordo parcialmente,Concordo parcialmente,Concordo,Concordo,Discordo,Discordo,Concordo,Motocicleta,Dirigindo carro,Carro,,,,,5 - Muito confortável,3,3,2,2,1 - Muito desconfortável,1 - Muito desconfortável,3,3,5 - Muito confortável,5 - Muito confortável,4 - Concordo,Não,Entre 1 e 2 salários mínimos,,SR 6,"Interessado, mas preocupado",Não ciclista,FALSE
2024-08-02T08:18:46.311Z,Daniel,Cidade 2000,18 - 25,Masculino,Pardo (a),Manuel Dias Branco,,Trabalho intermitente,,,,Não utilizo,,,,,,,,,,,,,"Tenho medo de sofrer um acidente andando de bicicleta, Meu local de trabalho/estudo/lazer/ outros é muito distante para ir de bicicleta, Não há um lugar seguro para guardar a minha bicicleta, Não gosto de andar de bicicleta",Concordo,Concordo,Discordo,Discordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Concordo,Dirigindo carro,Dirigindo carro,Não gostaria,,,,,5 - Muito confortável,3,4,3,4,3,4,5 - Muito confortável,3,3,5 - Muito confortável,2 - Discordo,Não,Entre 1 e 2 salários mínimos,,SR 7,Entusiasmado e confiante,Não ciclista,FALSE
2024-08-02T08:23:34.487Z,Sabrina Farias,Feira da Cidade 2000,18 - 25,Feminino,Pardo (a),Papicu,,Trabalho fixo,,,,Utilizo pouco (+/-1 vez por mês),Uma vez por semana,1 - Tenho muito medo,"Mais ciclovias e ciclofaixas, Qualidade das ciclovias e ciclofaixas, Menos buracos nas ruas, Distância em relação aos carros, motos e outros meios, Local seguro para guardar a bicicleta",Sim,"É mais rápido, É mais barato",Concordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,,,,,,,,,,,,,Ônibus Municipal ou Vans,,Motocicleta,Sim,Concordo,Não,"Falta de estacionamento ou local para guardar a bicicleta, Tenho medo de ser assaltado andando de bicicleta",5 - Muito confortável,4,3,2,2,1 - Muito desconfortável,3,4,1 - Muito desconfortável,2,4,5 - Concordo fortemente,Não,Entre 1 e 2 salários mínimos,,SR 2,"Interessado, mas preocupado",Ciclista,FALSE
2024-08-02T08:28:01.125Z,Daniel,Cidade 2000,18 - 25,Masculino,Pardo (a),Cidade 2000,,Trabalho fixo,,,,Utilizo raramente,,,,,,,,,,,,,Não sei andar de bicicleta,Concordo parcialmente,Concordo parcialmente,Concordo,Concordo,Discordo,Concordo,Discordo totalmente,Discordo totalmente,Concordo,Concordo,Concordo,A pé,Uber moto,Carro,,,,,5 - Muito confortável,3,3,2,3,1 - Muito desconfortável,1 - Muito desconfortável,4,1 - Muito desconfortável,2,5 - Muito confortável,2 - Discordo,Não,Entre 1 e 2 salários mínimos,,SR 7,De jeito nenhum,Não ciclista,FALSE
2024-08-02T08:32:06.606Z,Sabrina Farias,Feira da Cidade 2000,36-40,Feminino,Pardo (a),Praia Do Futuro I,,Trabalho fixo,,,,Utilizo pouco (+/-1 vez por mês),Pelo menos 1 vez por mês,1 - Tenho muito medo,"Ciclovias e ciclofaixas mais seguras, Qualidade das ciclovias e ciclofaixas, Distância em relação aos carros, motos e outros meios, Os carros e outros meios de transporte trafegassem/andassem mais devagar, Segurança pública (em relação a assaltos)",Não,Faço exercícios enquanto ando de bicicleta.,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Discordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,,,,,,,,,,,,,Dirigindo carro,,Não gostaria,,,,,5 - Muito confortável,3,3,3,5 - Muito confortável,2,5 - Muito confortável,5 - Muito confortável,1 - Muito desconfortável,3,5 - Muito confortável,5 - Concordo fortemente,Sim,Entre 2 e 3 salários mínimos,,,Entusiasmado e confiante,Ciclista,FALSE
2024-08-02T08:42:57.247Z,Daniel,Cidade 2000,26-30,Feminino,Branco (a),Cidade 2000,,Trabalho fixo,,,,Não utilizo,,,,,,,,,,,,,Não tenho bicicleta,Concordo parcialmente,Concordo parcialmente,Concordo,Concordo,Discordo,Concordo,Discordo totalmente,Concordo parcialmente,Discordo,Concordo,Discordo,Ônibus Municipal ou Vans,Uber carro,Carro,Sim,Discordo,Não,Distância da viagem,5 - Muito confortável,2,2,2,3,1 - Muito desconfortável,3,5 - Muito confortável,1 - Muito desconfortável,1 - Muito desconfortável,5 - Muito confortável,2 - Discordo,Não,Entre 1 e 2 salários mínimos,,SR 7,De jeito nenhum,Não ciclista,FALSE
2024-08-02T08:43:01.583Z,Sabrina Farias,Feira da Cidade 2000,31-35,Feminino,Pardo (a),Vicente Pinzon,,Trabalho fixo,,,,Utilizo sempre,Mais de 2 vezes por semana,1 - Tenho muito medo,"Mais ciclovias e ciclofaixas, Ciclovias e ciclofaixas mais seguras, Local seguro para guardar a bicicleta, Segurança pública (em relação a assaltos)",Sim,"É mais rápido, Gosto de andar de bicicleta (é prazeroso)",Concordo totalmente,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,,,,,,,,,,,,,Dirigindo carro,,Não gostaria,,,,,5 - Muito confortável,3,3,1 - Muito desconfortável,3,1 - Muito desconfortável,3,5 - Muito confortável,1 - Muito desconfortável,2,5 - Muito confortável,5 - Concordo fortemente,Sim,Entre 1 e 2 salários mínimos,,SR 2,"Interessado, mas preocupado",Ciclista,FALSE
2024-08-02T08:56:30.204Z,Sabrina Farias,Feira da Cidade 2000,51-55,Feminino,Branco (a),Jardim Das Oliveiras,,Trabalho fixo,,,,Utilizo sempre,5 ou mais vezes por semana,1 - Tenho muito medo,"Menos buracos nas ruas, Distância em relação aos carros, motos e outros meios, Segurança pública (em relação a assaltos), Conscientização das pessoas",Sim,"É mais rápido, Gosto de andar de bicicleta (é prazeroso), Faço exercícios enquanto ando de bicicleta.",Concordo totalmente,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,,,,,,,,,,,,,Dirigindo carro,,Não gostaria,,,,,5 - Muito confortável,3,5 - Muito confortável,2,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,5 - Muito confortável,5 - Concordo fortemente,Sim,Menor que 1 salário mínimo,,,Entusiasmado e confiante,Ciclista,FALSE
2024-08-02T09:02:57.704Z,Sabrina Farias,Feira da Cidade 2000,51-55,Masculino,Pardo (a),Serrinha,,Trabalho intermitente,,,,Não utilizo,,,,,,,,,,,,,"Tenho medo de sofrer um acidente andando de bicicleta, Desrespeito dos motoristas e motociclistas com o ciclista",Discordo totalmente,Concordo totalmente,Discordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Discordo totalmente,Discordo totalmente,Concordo totalmente,Concordo totalmente,Dirigindo carro,,Não gostaria,,,,,5 - Muito confortável,4,5 - Muito confortável,3,4,1 - Muito desconfortável,3,5 - Muito confortável,1 - Muito desconfortável,3,5 - Muito confortável,1 - Discordo fortemente,Não,Entre 1 e 2 salários mínimos,,SR 8,De jeito nenhum,Não ciclista,FALSE
2024-08-02T09:04:17.845Z,Daniel,Cidade 2000,26-30,Masculino,Pardo (a),Cidade 2000,,Trabalho fixo,,,,Não utilizo,,,,,,,,,,,,,"Não tenho bicicleta, Não sei andar de bicicleta",Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo,Discordo totalmente,Discordo totalmente,Discordo totalmente,Concordo,Discordo totalmente,A pé,Uber moto,Carro,,,,,5 - Muito confortável,3,2,1 - Muito desconfortável,3,1 - Muito desconfortável,1 - Muito desconfortável,5 - Muito confortável,1 - Muito desconfortável,2,1 - Muito desconfortável,2 - Discordo,Não,Prefiro não responder,,SR 7,De jeito nenhum,Não ciclista,FALSE
2024-08-02T09:31:13.555Z,Daniel,Cidade 2000,51-55,Masculino,Pardo (a),Cidade 2000,,Trabalho intermitente,,,,Utilizo sempre,5 ou mais vezes por semana,"3 - Nem seguro, nem inseguro","Mais ciclovias e ciclofaixas, Menos buracos nas ruas, Segurança pública (em relação a assaltos)",Sim,"Não tenho outra opção, É bom pra minha saúde mental",Concordo,Concordo,Concordo,Concordo parcialmente,Concordo,Concordo,Concordo,,,,,,,,,,,,,Bicicleta,Uber carro,Carro,,,,,5 - Muito confortável,2,3,1 - Muito desconfortável,2,1 - Muito desconfortável,3,5 - Muito confortável,1 - Muito desconfortável,1 - Muito desconfortável,5 - Muito confortável,2 - Discordo,Sim,Entre 1 e 2 salários mínimos,,SR 7,"Interessado, mas preocupado",Ciclista,FALSE
2024-08-02T09:34:03.253Z,Daniel,Cidade 2000,31-35,Masculino,Pardo (a),Cidade 2000,,Não ocupado (a),,,,Utilizo sempre,5 ou mais vezes por semana,2 - Tenho medo,"Menos buracos nas ruas, Os carros e outros meios de transporte trafegassem/andassem mais devagar, Segurança pública (em relação a assaltos)",,Não tenho outra opção,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo,Concordo,,,,,,,,,,,,,Bicicleta,A pé,Carro,,,,,5 - Muito confortável,3,2,1 - Muito desconfortável,2,1 - Muito desconfortável,3,5 - Muito confortável,1 - Muito desconfortável,2,5 - Muito confortável,2 - Discordo,Sim,Menor que 1 salário mínimo,,SR 7,"Interessado, mas preocupado",Ciclista,FALSE
2024-08-02T09:58:18.854Z,Daniel,Cidade 2000,36-40,Feminino,Pardo (a),Cidade 2000,,Dono (a) de casa,,,,Não utilizo,,,,,,,,,,,,,Não tenho bicicleta,Concordo,Concordo,Concordo parcialmente,Concordo parcialmente,Discordo,Discordo,Concordo,Concordo,Discordo totalmente,Concordo,Concordo,A pé,Carona de carro,Carro,,,,,5 - Muito confortável,4,3,1 - Muito desconfortável,3,1 - Muito desconfortável,3,5 - Muito confortável,1 - Muito desconfortável,3,5 - Muito confortável,4 - Concordo,Não,Menor que 1 salário mínimo,,SR 7,"Interessado, mas preocupado",Não ciclista,FALSE
2024-08-02T10:05:33.842999Z,Sabrina Farias,Feira da Cidade 2000,41-45,Feminino,Branco (a),Papicu,,Trabalho fixo,,,,Utilizo raramente,,,,,,,,,,,,,"Tenho medo de sofrer um acidente andando de bicicleta, Tenho medo de ser assaltado",Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Concordo totalmente,Concordo totalmente,Discordo totalmente,Ônibus Municipal ou Vans,,Carro,Sim,Concordo fortemente,Sim,"Tenho medo de sofrer um acidente andando de bicicleta, Tenho medo de ser assaltado andando de bicicleta",5 - Muito confortável,4,5 - Muito confortável,1 - Muito desconfortável,3,1 - Muito desconfortável,3,4,1 - Muito desconfortável,3,5 - Muito confortável,5 - Concordo fortemente,Não,Menor que 1 salário mínimo,,SR 2,"Interessado, mas preocupado",Não ciclista,FALSE
2024-08-02T10:09:12.354Z,Daniel,Cidade 2000,56-60,Masculino,Pardo (a),Cidade 2000,,Aposentado (a),,,,Utilizo pouco (+/-1 vez por mês),Mais de 2 vezes por semana,1 - Tenho muito medo,"Conforto térmico (temperatura na rua), Os carros e outros meios de transporte trafegassem/andassem mais devagar, Local seguro para guardar a bicicleta, Segurança pública (em relação a assaltos)",Sim,"Faço exercícios enquanto ando de bicicleta., É bom pra minha saúde mental",Discordo,Discordo,Discordo,Concordo,Discordo,Concordo,Concordo,,,,,,,,,,,,,Bicicleta,Carona de carro,Carro,,,,,5 - Muito confortável,3,3,1 - Muito desconfortável,3,1 - Muito desconfortável,3,5 - Muito confortável,1 - Muito desconfortável,2,5 - Muito confortável,3 - Não sei dizer,Sim,Entre 1 e 2 salários mínimos,,SR 7,"Interessado, mas preocupado",Ciclista,FALSE
2024-08-02T10:18:17.822001Z,Daniel,Cidade 2000,26-30,Feminino,Branco (a),Papicu,,Trabalho fixo,,,,Não utilizo,,,,,,,,,,,,,Não tenho bicicleta,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo totalmente,Discordo totalmente,Concordo parcialmente,Concordo,Motocicleta,Uber carro,Não gostaria,,,,,5 - Muito confortável,2,2,2,2,1 - Muito desconfortável,3,5 - Muito confortável,1 - Muito desconfortável,2,5 - Muito confortável,4 - Concordo,Não,Entre 1 e 2 salários mínimos,,SR 2,"Interessado, mas preocupado",Não ciclista,FALSE
2024-08-02T10:18:18.616Z,Sabrina Farias,Feira da Cidade 2000,46-50,Feminino,Pardo (a),Praia Do Futuro I,,Trabalho fixo,Dono (a) de casa,,,Utilizo sempre,Mais de 2 vezes por semana,1 - Tenho muito medo,"Mais ciclovias e ciclofaixas, Ciclovias e ciclofaixas mais seguras, Distância em relação aos carros, motos e outros meios, Segurança pública (em relação a assaltos)",Sim,"É mais barato, É bom pra minha saúde mental",Discordo totalmente,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,,,,,,,,,,,,,Dirigindo carro,,Não gostaria,,,,,2,1 - Muito desconfortável,5 - Muito confortável,1 - Muito desconfortável,3,1 - Muito desconfortável,5 - Muito confortável,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,5 - Muito confortável,4 - Concordo,Sim,Entre 4 e 5 salários mínimos,,,Entusiasmado e confiante,Ciclista,TRUE
2024-08-02T10:23:56.202Z,Daniel,Cidade 2000,26-30,Masculino,Branco (a),Cidade 2000,,Trabalho fixo,,,,Não utilizo,,,,,,,,,,,,,Tenho medo de sofrer um acidente andando de bicicleta,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo parcialmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Concordo,Concordo,Carona de carro,Uber carro,Carro,,,,,5 - Muito confortável,4,4,1 - Muito desconfortável,4,1 - Muito desconfortável,4,5 - Muito confortável,1 - Muito desconfortável,3,5 - Muito confortável,4 - Concordo,Não,Entre 2 e 3 salários mínimos,,SR 7,Entusiasmado e confiante,Não ciclista,FALSE
2024-08-02T10:27:37.759Z,Sabrina Farias,Feira da Cidade 2000,41-45,Masculino,Pardo (a),Papicu,,Trabalho fixo,,,,Utilizo pouco (+/-1 vez por mês),Pelo menos 1 vez por mês,1 - Tenho muito medo,"Ciclovias e ciclofaixas mais seguras, Local seguro para guardar a bicicleta, Segurança pública (em relação a assaltos)",Não,"É mais rápido, É mais barato, Faço exercícios enquanto ando de bicicleta.",Concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Concordo totalmente,Concordo totalmente,,,,,,,,,,,,,Motocicleta,,Não gostaria,,,,,4,4,4,3,4,2,3,4,2,2,4,5 - Concordo fortemente,Sim,Entre 1 e 2 salários mínimos,,SR 2,"Interessado, mas preocupado",Ciclista,FALSE
2024-08-02T10:28:53.279Z,Daniel,Cidade 2000,36-40,Feminino,Preto (a),Cidade 2000,,Trabalho fixo,,,,Não utilizo,,,,,,,,,,,,,"Tenho medo de ser assaltado, Não gosto de andar de bicicleta, Desrespeito dos motoristas e motociclistas com o ciclista",Concordo,Concordo,Concordo,Discordo,Concordo parcialmente,Concordo parcialmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Concordo,Concordo,Ônibus Municipal ou Vans,Uber moto,Carro,Sim,Discordo,Sim,"Não gosto de bicicleta, Tenho medo de ser assaltado andando de bicicleta",5 - Muito confortável,3,3,1 - Muito desconfortável,3,1 - Muito desconfortável,1 - Muito desconfortável,2,1 - Muito desconfortável,2,4,3 - Não sei dizer,Não,Entre 1 e 2 salários mínimos,,SR 7,De jeito nenhum,Não ciclista,FALSE
2024-08-02T10:35:02.054Z,Sabrina Farias,Feira da Cidade 2000,56-60,Feminino,Pardo (a),Varjota,,Dono (a) de casa,,,,Não utilizo,,,,,,,,,,,,,Não sei andar de bicicleta,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Discordo totalmente,Concordo,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Concordo totalmente,Discordo totalmente,Ônibus Municipal ou Vans,,Não gostaria,Não se aplica,Não se aplica,Não sei,Não sei andar de bicicleta,3,1 - Muito desconfortável,1 - Muito desconfortável,1 - Muito desconfortável,1 - Muito desconfortável,1 - Muito desconfortável,1 - Muito desconfortável,2,1 - Muito desconfortável,1 - Muito desconfortável,2,2 - Discordo,Não,Entre 1 e 2 salários mínimos,,SR 2,De jeito nenhum,Não ciclista,FALSE
2024-08-02T10:41:21.084Z,Daniel,Cidade 2000,31-35,Feminino,Amarelo (a),Cidade 2000,,Trabalho fixo,,,,Não utilizo,,,,,,,,,,,,,Não tenho bicicleta,Concordo,Concordo,Concordo,Concordo,Concordo parcialmente,Discordo,Discordo,Discordo,Discordo totalmente,Concordo,Concordo,Ônibus Municipal ou Vans,Uber carro,Carro,Sim,Discordo,Sim,Distância da viagem,5 - Muito confortável,3,3,1 - Muito desconfortável,2,1 - Muito desconfortável,2,4,1 - Muito desconfortável,2,5 - Muito confortável,4 - Concordo,Não,Entre 1 e 2 salários mínimos,,SR 7,"Interessado, mas preocupado",Não ciclista,FALSE
2024-08-02T10:45:19.516Z,Sabrina Farias,Feira da Cidade 2000,51-55,Masculino,Pardo (a),Papicu,,Trabalho fixo,,,,Utilizo raramente,,,,,,,,,,,,,"Tenho medo de sofrer um acidente andando de bicicleta, Desrespeito dos motoristas e motociclistas com o ciclista",Concordo totalmente,Concordo totalmente,Discordo totalmente,Concordo,Concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Ônibus Municipal ou Vans,,Carro,Não,Concordo fortemente,Sim,Distância da viagem,5 - Muito confortável,4,3,4,4,3,4,4,2,4,5 - Muito confortável,4 - Concordo,Sim,Entre 1 e 2 salários mínimos,,SR 2,Entusiasmado e confiante,Não ciclista,FALSE
2024-08-02T10:46:29.499Z,Daniel,Cidade 2000,26-30,Masculino,Pardo (a),Cidade 2000,,Trabalho fixo,,,,Não utilizo,,,,,,,,,,,,,Não tenho bicicleta,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Discordo,Discordo,Discordo,Concordo,Concordo,Ônibus Municipal ou Vans,Carona de motocicleta,Carro,Sim,Discordo,Sim,Não gosto de bicicleta,5 - Muito confortável,3,2,2,4,1 - Muito desconfortável,4,4,1 - Muito desconfortável,2,5 - Muito confortável,2 - Discordo,Não,Entre 1 e 2 salários mínimos,,SR 7,De jeito nenhum,Não ciclista,FALSE
2024-08-02T10:55:49.671999Z,Sabrina Farias,Feira da Cidade 2000,51-55,Masculino,Pardo (a),Edson Queiroz,,Trabalho fixo,,,,Utilizo raramente,,,,,,,,,,,,,Desrespeito dos motoristas e motociclistas com o ciclista,Concordo parcialmente,Concordo,Concordo,Concordo parcialmente,Concordo,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo,Concordo totalmente,Concordo,Motocicleta,,Não gostaria,,,,,4,3,3,4,2,3,4,4,2,4,5 - Muito confortável,4 - Concordo,Não,Entre 1 e 2 salários mínimos,,SR 7,"Interessado, mas preocupado",Não ciclista,TRUE
2024-08-02T10:59:24.730Z,Daniel,Cidade 2000,26-30,Feminino,Branco (a),Cidade 2000,,Trabalho intermitente,,,,Utilizo pouco (+/-1 vez por mês),Mais de 2 vezes por semana,2 - Tenho medo,"Qualidade das ciclovias e ciclofaixas, Menos buracos nas ruas, Distância em relação aos carros, motos e outros meios, Segurança pública (em relação a assaltos)",Não,"Gosto de andar de bicicleta (é prazeroso), Faço exercícios enquanto ando de bicicleta.",Concordo,Concordo,Concordo,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,,,,,,,,,,,,,Ônibus Municipal ou Vans,Carona de carro,Carro,Sim,Discordo,Não,"Distância da viagem, Não tenho bicicleta",5 - Muito confortável,2,2,2,3,1 - Muito desconfortável,1 - Muito desconfortável,5 - Muito confortável,1 - Muito desconfortável,2,4,2 - Discordo,Sim,Entre 1 e 2 salários mínimos,,SR 7,"Interessado, mas preocupado",Ciclista,FALSE
2024-08-02T12:36:36.331Z,Sabrina Farias,Parque do Cocó,36-40,Masculino,Pardo (a),Prefeito José Walter,,Trabalho intermitente,Estudo/Faculdade/Educação,,,Não utilizo,,,,,,,,,,,,,"Não tenho bicicleta, Não gosto de andar de bicicleta",Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,Discordo totalmente,Concordo totalmente,Discordo totalmente,Concordo totalmente,Discordo totalmente,Discordo totalmente,Concordo totalmente,Uber moto,,Bicicleta,,,,,1 - Muito desconfortável,3,3,1 - Muito desconfortável,1 - Muito desconfortável,1 - Muito desconfortável,4,5 - Muito confortável,1 - Muito desconfortável,1 - Muito desconfortável,5 - Muito confortável,5 - Concordo fortemente,Não,Menor que 1 salário mínimo,,,De jeito nenhum,Não ciclista,TRUE
2024-08-02T12:39:16.529Z,,,18 - 25,Feminino,Branco (a),Parquelândia,,Trabalho intermitente,,,,Não utilizo,,,,,,,,,,,,,"Não tenho bicicleta, Não sei andar de bicicleta",Concordo,Concordo,Concordo,Concordo parcialmente,Concordo,Concordo,Discordo,Discordo,Discordo,Concordo,Discordo,Uber moto,Ônibus Municipal ou Vans,Motocicleta,,,,,5 - Muito confortável,4,4,2,3,1 - Muito desconfortável,2,5 - Muito confortável,2,2,5 - Muito confortável,5 - Concordo fortemente,Não,Entre 2 e 3 salários mínimos,,SR 3,"Interessado, mas preocupado",Não ciclista,FALSE
